country,indicator,year,value,source_id,retrieved,via
IT,NY.GDP.MKTP.CD,2017,1961796197354.3564,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2018,2091932426266.979,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2019,2011302198827.4478,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2020,1897461635591.9119,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2021,2154875493744.9265,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2022,2066972096553.7046,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2023,2254851212731.8047,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2015,1196156971279.6868,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2016,1233554967011.6763,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2017,1313245330197.6494,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2018,1421702715218.038,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2019,1394320055129.4094,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2020,1278128867875.49,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2021,1445651653604.628,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2022,1417800466262.6514,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,NY.GDP.MKTP.CD,2023,1580694712515.714,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2015,2927911140916.7314,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2016,2689106566899.611,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2017,2680148052335.299,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2018,2871340347581.7856,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2019,2851407164907.808,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2020,2697806592293.8604,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2021,3141506156618.7026,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2022,3088839763445.0234,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,NY.GDP.MKTP.CD,2023,3340032380668.0356,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
